No,캐릭터명,명랑도_점수,명랑도_확신도,외향성_점수,외향성_확신도,자기확신_점수,자기확신_확신도,기행성_점수,기행성_확신도,장난기_점수,장난기_확신도,노력성_점수,노력성_확신도,천재성_점수,천재성_확신도,역경성_점수,역경성_확신도,이성성_점수,이성성_확신도,충동성_점수,충동성_확신도,배려성_점수,배려성_확신도,독립성_점수,독립성_확신도,완벽주의_점수,완벽주의_확신도,승부집착_점수,승부집착_확신도,책임감_점수,책임감_확신도,평균확신도,저확신수,저확신항목,공식프로필URL,NamuWiki문서후보URL
82,노스 플라이트,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,2,0.52,3,0.88,1,0.88,3,0.88,1,0.62,3,0.88,2,0.62,3,0.62,0.7507,1,역경성,https://umamusume.jp/character/northflight,https://namu.wiki/w/노스 플라이트(우마무스메 프리티 더비)
83,심볼리 크리스 에스,1,0.88,1,0.88,3,0.85,1,0.72,0,0.85,2,0.62,3,0.78,2,0.52,3,0.62,0,0.62,2,0.62,3,0.8,3,0.62,3,0.62,3,0.62,0.708,1,역경성,https://umamusume.jp/character/symbolikriss,https://namu.wiki/w/심볼리 크리스 에스(우마무스메 프리티 더비)
84,타니노 김렛,3,0.72,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.6947,0,,https://umamusume.jp/character/taninogimlet,https://namu.wiki/w/타니노 김렛(우마무스메 프리티 더비)
85,다이이치 루비,1,0.72,1,0.72,3,0.85,1,0.72,0,0.85,2,0.62,2,0.62,2,0.52,4,0.62,0,0.62,2,0.62,3,0.8,3,0.8,3,0.62,3,0.62,0.688,1,역경성,https://umamusume.jp/character/daiichiruby,https://namu.wiki/w/다이이치 루비(우마무스메 프리티 더비)
86,메지로 라모누,2,0.52,2,0.52,4,0.88,4,0.85,2,0.52,2,0.62,4,0.88,1,0.72,2,0.62,3,0.62,1,0.62,4,0.9,3,0.62,3,0.62,2,0.62,0.6753,3,"명랑도, 외향성, 장난기",https://umamusume.jp/character/mejiroramonu,https://namu.wiki/w/메지로 라모누(우마무스메 프리티 더비)
87,애스턴 마짱,3,0.72,2,0.52,3,0.72,4,0.85,3,0.72,2,0.62,2,0.62,4,0.85,1,0.62,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.664,1,외향성,https://umamusume.jp/character/astonmachan,https://namu.wiki/w/애스턴 마짱(우마무스메 프리티 더비)
88,사토노 크라운,4,0.85,4,0.85,3,0.85,3,0.72,3,0.72,2,0.62,2,0.62,3,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.686,0,,https://umamusume.jp/character/satonocrown,https://namu.wiki/w/사토노 크라운(우마무스메 프리티 더비)
89,슈발 그랑,2,0.52,0,0.85,0,0.88,1,0.72,0,0.85,4,0.88,2,0.62,4,0.88,3,0.62,0,0.62,3,0.8,1,0.85,3,0.62,3,0.62,3,0.62,0.73,1,명랑도,https://umamusume.jp/character/chevalgrand,https://namu.wiki/w/슈발 그랑(우마무스메 프리티 더비)
90,베르시나,3,0.72,3,0.72,3,0.85,1,0.72,1,0.72,3,0.78,2,0.62,4,0.85,2,0.62,2,0.62,3,0.62,2,0.62,4,0.9,4,0.62,3,0.62,0.7067,0,,https://umamusume.jp/character/verxina,https://namu.wiki/w/베르시나(우마무스메 프리티 더비)
91,비블로스,4,0.85,4,0.85,3,0.85,3,0.72,4,0.88,2,0.62,2,0.62,1,0.72,0,0.62,3,0.8,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.7087,0,,https://umamusume.jp/character/vivlos,https://namu.wiki/w/비블로스(우마무스메 프리티 더비)
92,단츠 플레임,3,0.72,3,0.72,1,0.72,1,0.72,2,0.52,3,0.78,2,0.62,3,0.72,2,0.62,2,0.62,4,0.9,0,0.9,2,0.62,2,0.62,2,0.62,0.6947,1,장난기,https://umamusume.jp/character/dantsuflame,https://namu.wiki/w/단츠 플레임(우마무스메 프리티 더비)
93,케이에스 미라클,3,0.72,2,0.52,2,0.52,1,0.72,1,0.72,3,0.78,2,0.62,4,0.88,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.6547,2,"외향성, 자기확신",https://umamusume.jp/character/ksmiracle,https://namu.wiki/w/케이에스 미라클(우마무스메 프리티 더비)
94,정글 포켓,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,2,0.52,0,0.62,3,0.8,2,0.62,1,0.62,2,0.62,4,0.9,2,0.62,0.712,1,역경성,https://umamusume.jp/character/junglepocket,https://namu.wiki/w/정글 포켓(우마무스메 프리티 더비)
95,빌리브,2,0.52,1,0.72,3,0.85,1,0.72,0,0.85,4,0.88,2,0.62,2,0.52,4,0.88,0,0.88,2,0.88,4,0.88,4,0.88,3,0.88,4,0.9,0.7907,2,"명랑도, 역경성",https://umamusume.jp/character/believe,https://namu.wiki/w/빌리브(우마무스메 프리티 더비)
96,노 리즌,4,0.85,4,0.85,4,0.85,4,0.85,4,0.85,2,0.62,2,0.62,2,0.52,3,0.88,3,0.88,2,0.62,3,0.88,2,0.88,4,0.88,2,0.62,0.7767,1,역경성,https://umamusume.jp/character/noreason,https://namu.wiki/w/노 리즌(우마무스메 프리티 더비)
97,스틸 인 러브,2,0.52,1,0.72,3,0.72,4,0.85,1,0.72,2,0.62,2,0.62,2,0.52,2,0.62,2,0.62,1,0.62,3,0.62,3,0.62,3,0.62,2,0.62,0.642,2,"명랑도, 역경성",https://umamusume.jp/character/stillinlove,https://namu.wiki/w/스틸 인 러브(우마무스메 프리티 더비)
98,코파노 리키,4,0.85,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,1,0.72,2,0.88,2,0.88,4,0.88,2,0.88,2,0.88,2,0.62,2,0.62,0.79,0,,https://umamusume.jp/character/copanorickey,https://namu.wiki/w/코파노 리키(우마무스메 프리티 더비)
99,홋코 타루마에,3,0.72,3,0.72,3,0.72,2,0.52,2,0.52,2,0.62,2,0.62,2,0.52,2,0.62,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.62,3,"기행성, 장난기, 역경성",https://umamusume.jp/character/hokkotarumae,https://namu.wiki/w/홋코 타루마에(우마무스메 프리티 더비)
100,원더 어큐트,3,0.72,3,0.72,3,0.85,1,0.72,1,0.72,2,0.62,2,0.62,2,0.52,3,0.62,1,0.62,4,0.9,2,0.62,3,0.62,3,0.62,4,0.9,0.6927,1,역경성,https://umamusume.jp/character/wonderacute,https://namu.wiki/w/원더 어큐트(우마무스메 프리티 더비)
101,삼손 빅,4,0.85,3,0.72,3,0.72,2,0.52,3,0.72,2,0.62,2,0.62,4,0.85,1,0.62,3,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.664,1,기행성,https://umamusume.jp/character/samsonbig,https://namu.wiki/w/삼손 빅(우마무스메 프리티 더비)
102,사운즈 오브 어스,4,0.85,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,1,0.72,1,0.88,3,0.88,2,0.88,3,0.88,1,0.88,2,0.62,2,0.62,0.79,0,,https://umamusume.jp/character/soundsofearth,https://namu.wiki/w/사운즈 오브 어스(우마무스메 프리티 더비)
103,로이스 앤 로이스,3,0.72,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,2,0.52,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.6813,1,역경성,https://umamusume.jp/character/royceandroyce,https://namu.wiki/w/로이스 앤 로이스(우마무스메 프리티 더비)
104,카츠라기 에이스,4,0.85,4,0.85,3,0.85,3,0.72,3,0.72,2,0.62,2,0.62,3,0.52,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,3,0.8,2,0.62,0.6847,1,역경성,https://umamusume.jp/character/katsuragiace,https://namu.wiki/w/카츠라기 에이스(우마무스메 프리티 더비)
105,네오 유니버스,3,0.72,1,0.72,3,0.85,4,0.88,3,0.72,2,0.62,2,0.62,2,0.52,2,0.62,3,0.62,1,0.62,3,0.62,2,0.62,3,0.62,2,0.62,0.666,1,역경성,https://umamusume.jp/character/neouniverse,https://namu.wiki/w/네오 유니버스(우마무스메 프리티 더비)
106,히시 미라클,4,0.85,3,0.72,1,0.52,2,0.52,3,0.72,1,0.85,2,0.62,2,0.52,1,0.62,3,0.62,2,0.62,1,0.62,0,0.9,1,0.85,1,0.85,0.6933,3,"자기확신, 기행성, 역경성",https://umamusume.jp/character/hishimiracle,https://namu.wiki/w/히시 미라클(우마무스메 프리티 더비)
107,탭 댄스 시티,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,2,0.52,1,0.88,4,0.88,1,0.88,3,0.88,1,0.88,2,0.62,1,0.62,0.768,1,역경성,https://umamusume.jp/character/tapdancecity,https://namu.wiki/w/탭 댄스 시티(우마무스메 프리티 더비)
108,두라멘테,2,0.52,1,0.72,3,0.85,1,0.72,0,0.85,2,0.62,3,0.78,1,0.72,3,0.62,1,0.62,2,0.62,3,0.62,3,0.62,3,0.8,2,0.62,0.6867,1,명랑도,https://umamusume.jp/character/duramente,https://namu.wiki/w/두라멘테(우마무스메 프리티 더비)
109,라인 크라프트,4,0.85,4,0.85,3,0.85,1,0.72,2,0.52,2,0.62,2,0.62,2,0.52,2,0.62,2,0.62,3,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.6593,2,"장난기, 역경성",https://umamusume.jp/character/rheinkraft,https://namu.wiki/w/라인 크라프트(우마무스메 프리티 더비)
110,세자리오,3,0.72,2,0.52,3,0.85,1,0.72,1,0.72,2,0.62,2,0.62,1,0.72,3,0.8,1,0.62,2,0.62,2,0.62,3,0.8,3,0.62,2,0.62,0.6793,1,외향성,https://umamusume.jp/character/cesario,https://namu.wiki/w/세자리오(우마무스메 프리티 더비)
111,에어 메사이어,2,0.52,2,0.52,2,0.52,1,0.72,1,0.72,2,0.62,2,0.62,3,0.72,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,3,0.62,2,0.62,0.62,3,"명랑도, 외향성, 자기확신",https://umamusume.jp/character/airmessiah,https://namu.wiki/w/에어 메사이어(우마무스메 프리티 더비)
112,데어링 하트,4,0.85,4,0.85,3,0.85,3,0.72,3,0.72,2,0.62,2,0.62,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.686,0,,https://umamusume.jp/character/daringheart,https://namu.wiki/w/데어링 하트(우마무스메 프리티 더비)
113,후사이치 판도라,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,1,0.62,2,0.62,1,0.62,0.6947,0,,https://umamusume.jp/character/fusaichipandora,https://namu.wiki/w/후사이치 판도라(우마무스메 프리티 더비)
114,부에나 비스타,4,0.85,4,0.85,3,0.85,1,0.72,2,0.52,2,0.62,3,0.78,2,0.52,1,0.88,2,0.88,4,0.88,1,0.88,3,0.88,3,0.62,3,0.8,0.7687,2,"장난기, 역경성",https://umamusume.jp/character/buenavista,https://namu.wiki/w/부에나 비스타(우마무스메 프리티 더비)
115,오르페브르,2,0.52,4,0.85,4,0.88,4,0.85,2,0.52,2,0.62,4,0.88,1,0.72,1,0.62,4,0.62,0,0.9,1,0.62,2,0.62,4,0.9,1,0.62,0.716,2,"명랑도, 장난기",https://umamusume.jp/character/orfevre,https://namu.wiki/w/오르페브르(우마무스메 프리티 더비)
116,젠틸돈나,2,0.52,3,0.72,4,0.88,2,0.52,1,0.72,3,0.62,4,0.88,1,0.72,2,0.62,2,0.62,2,0.62,3,0.62,4,0.9,4,0.9,3,0.62,0.6987,2,"명랑도, 기행성",https://umamusume.jp/character/gentildonna,https://namu.wiki/w/젠틸돈나(우마무스메 프리티 더비)
117,윈 바리아시옹,3,0.72,2,0.52,2,0.52,2,0.52,2,0.52,4,0.88,2,0.62,4,0.88,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,4,0.9,3,0.62,0.6533,4,"외향성, 자기확신, 기행성, 장난기",https://umamusume.jp/character/winvariation,https://namu.wiki/w/윈 바리아시옹(우마무스메 프리티 더비)
118,어드마이어 그루브,1,0.72,0,0.85,3,0.72,1,0.72,0,0.85,2,0.62,2,0.62,3,0.72,3,0.62,0,0.62,2,0.62,3,0.62,3,0.62,3,0.62,3,0.62,0.6773,0,,https://umamusume.jp/character/admiregroove,https://namu.wiki/w/어드마이어 그루브(우마무스메 프리티 더비)
119,드림 저니,2,0.52,2,0.52,3,0.85,4,0.85,2,0.52,2,0.62,2,0.62,2,0.52,2,0.62,2,0.62,1,0.62,3,0.8,3,0.62,3,0.62,2,0.62,0.636,4,"명랑도, 외향성, 장난기, 역경성",https://umamusume.jp/character/dreamjourney,https://namu.wiki/w/드림 저니(우마무스메 프리티 더비)
120,칼스톤 라이트 오,3,0.72,3,0.72,3,0.85,4,0.88,2,0.52,2,0.62,2,0.62,1,0.72,1,0.62,4,0.9,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.6847,1,장난기,https://umamusume.jp/character/calstonelighto,https://namu.wiki/w/칼스톤 라이트 오(우마무스메 프리티 더비)
121,뒤랑달,3,0.72,2,0.52,3,0.85,3,0.72,2,0.52,2,0.62,2,0.62,1,0.72,2,0.62,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.642,2,"외향성, 장난기",https://umamusume.jp/character/durandal,https://namu.wiki/w/뒤랑달(우마무스메 프리티 더비)
122,버블검 펠로,3,0.72,4,0.85,3,0.85,2,0.52,2,0.52,2,0.62,2,0.62,1,0.72,1,0.62,3,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.6507,2,"기행성, 장난기",https://umamusume.jp/character/bubblegumfellow,https://namu.wiki/w/버블검 펠로(우마무스메 프리티 더비)
123,사쿠라 치토세 오,3,0.72,2,0.52,3,0.85,4,0.85,2,0.52,2,0.62,2,0.62,1,0.72,2,0.62,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.6507,2,"외향성, 장난기",https://umamusume.jp/character/sakurachitoseo,https://namu.wiki/w/사쿠라 치토세 오(우마무스메 프리티 더비)
124,페노메노,3,0.72,3,0.72,3,0.85,1,0.72,1,0.72,2,0.62,2,0.62,2,0.52,3,0.62,1,0.62,3,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.6553,1,역경성,https://umamusume.jp/character/fenomeno,https://namu.wiki/w/페노메노(우마무스메 프리티 더비)
125,블래스트 원피스,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,1,0.72,1,0.88,3,0.88,4,0.88,0,0.88,1,0.88,2,0.62,2,0.62,0.7813,0,,https://umamusume.jp/character/blastonepiece,https://namu.wiki/w/블래스트 원피스(우마무스메 프리티 더비)
126,아몬드 아이,3,0.72,3,0.72,3,0.85,2,0.52,1,0.72,2,0.62,4,0.88,1,0.72,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,3,0.8,2,0.62,0.6847,1,기행성,https://umamusume.jp/character/almondeye,https://namu.wiki/w/아몬드 아이(우마무스메 프리티 더비)
127,럭키 라일락,3,0.72,3,0.72,3,0.72,1,0.72,1,0.72,2,0.62,3,0.78,4,0.88,3,0.62,1,0.62,3,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.6813,0,,https://umamusume.jp/character/luckylilac,https://namu.wiki/w/럭키 라일락(우마무스메 프리티 더비)
128,그란 알레그리아,4,0.85,4,0.85,4,0.85,4,0.85,4,0.85,2,0.62,4,0.88,1,0.72,2,0.88,2,0.88,2,0.62,3,0.88,2,0.88,2,0.62,2,0.62,0.79,0,,https://umamusume.jp/character/granalegria,https://namu.wiki/w/그란 알레그리아(우마무스메 프리티 더비)
129,러브즈 온리 유,4,0.85,4,0.85,3,0.85,3,0.72,4,0.85,2,0.62,2,0.62,1,0.72,2,0.88,2,0.88,3,0.88,1,0.88,3,0.88,2,0.62,2,0.62,0.7813,0,,https://umamusume.jp/character/lovesonlyyou,https://namu.wiki/w/러브즈 온리 유(우마무스메 프리티 더비)
130,크로노 제네시스,3,0.72,1,0.72,3,0.72,3,0.72,2,0.52,2,0.62,3,0.78,1,0.72,2,0.62,2,0.62,2,0.62,3,0.62,2,0.62,3,0.62,2,0.62,0.6573,1,장난기,https://umamusume.jp/character/chronogenesis,https://namu.wiki/w/크로노 제네시스(우마무스메 프리티 더비)
131,카렌 부케도르,3,0.72,2,0.52,2,0.52,1,0.72,1,0.72,2,0.62,2,0.62,3,0.72,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,3,0.62,2,0.62,0.6333,2,"외향성, 자기확신",https://umamusume.jp/character/currenbouquetdor,https://namu.wiki/w/카렌 부케도르(우마무스메 프리티 더비)
132,스테이 골드,3,0.72,3,0.72,3,0.85,4,0.85,3,0.72,2,0.62,2,0.62,3,0.72,1,0.62,3,0.62,2,0.62,2,0.62,2,0.62,3,0.62,2,0.62,0.6773,0,,https://umamusume.jp/character/staygold,https://namu.wiki/w/스테이 골드(우마무스메 프리티 더비)
133,레드 디자이어,3,0.72,3,0.72,3,0.85,4,0.85,3,0.72,2,0.62,2,0.62,2,0.52,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.664,1,역경성,https://umamusume.jp/character/reddesire,https://namu.wiki/w/레드 디자이어(우마무스메 프리티 더비)
134,키세키,4,0.85,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,2,0.52,1,0.88,3,0.88,2,0.88,2,0.88,2,0.88,3,0.88,2,0.62,0.794,1,역경성,https://umamusume.jp/character/kiseki,https://namu.wiki/w/키세키(우마무스메 프리티 더비)
135,포에버 영,4,0.85,4,0.85,4,0.85,3,0.85,4,0.85,2,0.62,3,0.78,1,0.72,4,0.88,3,0.88,2,0.62,4,0.88,3,0.88,2,0.62,2,0.62,0.7833,0,,https://umamusume.jp/character/foreveryoung,https://namu.wiki/w/포에버 영(우마무스메 프리티 더비)
136,마르슈 로렌,3,0.72,0,0.85,1,0.72,4,0.85,3,0.72,2,0.62,2,0.62,2,0.52,2,0.62,3,0.62,1,0.62,3,0.62,2,0.62,2,0.62,2,0.62,0.664,1,역경성,https://umamusume.jp/character/marchelorraine,https://namu.wiki/w/마르슈 로렌(우마무스메 프리티 더비)
137,에피파네이아,4,0.85,4,0.85,3,0.85,4,0.85,4,0.85,2,0.62,2,0.62,1,0.72,0,0.88,4,0.88,3,0.88,2,0.88,1,0.88,2,0.62,2,0.62,0.79,0,,https://umamusume.jp/character/epiphaneia,https://namu.wiki/w/에피파네이아(우마무스메 프리티 더비)
138,로고타입,3,0.72,2,0.52,3,0.72,1,0.72,1,0.72,3,0.78,2,0.62,2,0.52,3,0.88,0,0.88,3,0.88,3,0.88,3,0.88,2,0.88,4,0.9,0.7667,2,"외향성, 역경성",https://umamusume.jp/character/logotype,https://namu.wiki/w/로고타입(우마무스메 프리티 더비)
139,빅투아르 피사,4,0.85,4,0.85,3,0.85,1,0.72,2,0.52,2,0.62,2,0.62,2,0.52,2,0.88,1,0.88,4,0.88,0,0.88,2,0.88,3,0.62,3,0.62,0.746,2,"장난기, 역경성",https://umamusume.jp/character/victoirepisa,https://namu.wiki/w/빅투아르 피사(우마무스메 프리티 더비)
140,로즈 킹덤,2,0.52,2,0.52,3,0.85,2,0.52,1,0.72,2,0.62,2,0.62,2,0.52,3,0.62,1,0.62,2,0.62,2,0.62,3,0.62,3,0.62,2,0.62,0.6153,4,"명랑도, 외향성, 기행성, 역경성",https://umamusume.jp/character/rosekingdom,https://namu.wiki/w/로즈 킹덤(우마무스메 프리티 더비)
141,룰러쉽,2,0.52,1,0.72,1,0.72,4,0.88,2,0.52,2,0.62,2,0.62,3,0.72,3,0.8,3,0.62,1,0.62,2,0.62,2,0.62,2,0.62,2,0.62,0.656,2,"명랑도, 장난기",https://umamusume.jp/character/rulership,https://namu.wiki/w/룰러쉽(우마무스메 프리티 더비)
142,타이틀홀더,2,0.52,1,0.72,3,0.85,3,0.72,0,0.85,2,0.62,3,0.78,1,0.72,3,0.62,1,0.62,2,0.62,3,0.62,3,0.62,3,0.8,2,0.62,0.6867,1,명랑도,https://umamusume.jp/character/titleholder,https://namu.wiki/w/타이틀홀더(우마무스메 프리티 더비)
